system:index,B2,B3,B4,B5,B6,B7,B8,landcover,ndd,ndsi,ndvi,.geo
1_1_1_1_1_0_0,4396,4170,3797,3504,3244,2897,2476,0,1.5335218,0.9350348,-0.21058504,
1_1_1_1_1_1_0,4848,4684,4409,4122,3663,3496,3311,0,1.3316219,0.92085296,-0.14222798,
1_1_1_1_1_2_0,5768,5627,5197,5015,4478,4278,3473,0,1.4964008,0.93069136,-0.1988466,
1_1_1_1_1_3_0,6530,6225,5915,5622,5353,4513,4212,0,1.404321,0.9392523,-0.16816431,
1_1_1_1_1_4_0,6743,6613,6418,6140,5831,5411,5038,0,1.2739183,0.9330605,-0.12046089,
1_1_1_1_1_5_0,5709,5444,5118,4938,4535,3949,3487,0,1.4677373,0.9318666,-0.18954097,
1_1_1_1_1_6_0,6658,6548,6294,5990,5841,4916,4902,0,1.2839657,0.9364188,-0.12433012,
1_1_1_1_1_7_0,5424,5131,5226,5326,5233,5008,4805,0,1.087617,0.89265954,-0.04196989,
1_1_1_1_1_8_0,5013,5037,4706,4272,4301,3351,3339,0,1.409404,0.9123007,-0.16991921,
1_1_1_1_1_9_0,5739,5757,5312,5627,5219,4131,3607,0,1.472692,0.9126246,-0.19116493,
1_1_1_1_1_10_0,6962,6845,6494,6217,5888,4991,4665,0,1.3920686,0.932524,-0.16390358,
1_1_1_1_1_11_0,6391,6139,5476,5158,4695,3958,3425,0,1.5988321,0.95043683,-0.23042355,
1_1_1_1_1_12_0,5862,5623,5678,5732,5636,5372,5118,0,1.1094178,0.8910375,-0.051871065,
1_1_1_1_1_13_0,3740,3545,3446,3426,3265,3308,2835,0,1.2155203,0.8766543,-0.09727751,
1_1_1_1_1_14_0,4553,4337,4342,4186,4158,3739,3724,0,1.1659505,0.9105727,-0.076617904,
1_1_1_1_1_15_0,6910,6670,6979,7045,6819,6523,6157,0,1.1335065,0.8860455,-0.06257613,
1_1_1_1_1_16_0,5696,5564,5640,5649,5614,5360,5151,0,1.094933,0.90189713,-0.04531554,
1_1_1_1_1_17_0,5272,4981,5134,5223,5157,4962,4780,0,1.0740585,0.90296084,-0.035707083,
1_1_1_1_1_18_0,5028,4712,4688,4672,4632,4375,4154,0,1.1285508,0.9331282,-0.060393576,
1_1_1_1_1_19_0,4861,4568,4664,4804,4665,4508,4323,0,1.0788804,0.86944956,-0.037943695,
1_1_1_1_1_20_0,6306,6091,6129,6241,6039,5782,5541,0,1.1061181,0.89869076,-0.050385606,
1_1_1_1_1_21_0,5412,5242,4840,4672,4208,3533,3054,0,1.5848068,0.93646103,-0.22624779,
1_1_1_1_1_22_0,4467,4234,3861,3563,3314,2779,2402,0,1.6074106,0.9453251,-0.23295546,
1_1_1_1_1_23_0,4672,4417,4062,3882,3517,2992,2666,0,1.5236309,0.94968,-0.20749108,
1_1_1_1_1_24_0,7195,7104,6398,5587,5363,4340,3962,0,1.614841,0.9492386,-0.23513514,
1_1_1_1_1_25_0,6854,6607,6112,5476,5227,4121,3878,0,1.5760702,0.9489676,-0.22362362,
1_1_1_1_1_26_0,5349,5285,5113,5063,4862,4249,3829,0,1.3353356,0.92918414,-0.14359204,
1_1_1_1_1_27_0,6007,5961,5517,5324,4910,4126,3643,0,1.5144112,0.94740283,-0.20458515,
1_1_1_1_1_28_0,5427,5349,5093,5090,4638,4027,3627,0,1.4041908,0.93664014,-0.16811927,
1_1_1_1_1_29_0,6175,6039,5758,5687,5230,4693,4166,0,1.3821411,0.92570156,-0.16041918,
1_1_1_1_1_30_0,5102,4924,4721,4512,4336,3674,3296,0,1.4323423,0.9298452,-0.1777473,
1_1_1_1_1_31_0,5555,5429,5087,4241,4335,3766,3571,0,1.424531,0.9490217,-0.17509818,
1_1_1_1_1_32_0,7368,7409,7480,7246,7166,6612,6576,0,1.1374695,0.9002308,-0.06431417,
1_1_1_1_1_33_0,5495,5328,5203,5009,5081,4733,4397,0,1.1833068,0.89845,-0.083958335,
1_1_1_1_1_34_0,5362,5357,5149,5388,4988,4179,3843,0,1.3398386,0.89326733,-0.14524022,
1_1_1_1_1_35_0,4418,4329,3888,3988,4109,3133,2447,0,1.5888844,0.95307916,-0.22746645,
1_1_1_1_1_36_0,6829,6837,6649,6538,6160,5491,5353,0,1.2421073,0.9132503,-0.107982,
1_1_1_1_1_37_0,7381,7258,6791,6456,5991,5125,4569,0,1.4863209,0.94402033,-0.19559859,
1_1_1_1_1_38_0,5002,4858,4678,4617,4235,3781,3437,0,1.3610708,0.9381608,-0.15292668,
1_1_1_1_1_39_0,5147,4969,4804,4577,4387,3838,3617,0,1.3281726,0.9267158,-0.14095713,
1_1_1_1_1_40_0,5371,5228,4919,4946,4564,3912,3593,0,1.369051,0.9192364,-0.15578008,
1_1_1_1_1_41_0,9166,9022,9142,9187,8829,8233,7779,0,1.1752154,0.93066555,-0.0805508,
1_1_1_1_1_42_0,8989,8786,9019,8989,8799,8219,7716,0,1.1688699,0.933326,-0.07786077,
1_1_1_1_1_43_0,8808,8723,8621,8399,8243,7111,6759,0,1.2754846,0.9123095,-0.12106632,
1_1_1_1_1_44_0,8857,8749,9066,9165,8980,8552,8192,0,1.1066895,0.9298555,-0.05064318,
1_1_1_1_1_45_0,6129,6055,5808,5683,5086,4664,4469,0,1.2996196,0.9067863,-0.13029094,
1_1_1_1_1_46_0,6574,6421,6018,5905,5507,4612,4061,0,1.481901,0.9213046,-0.1941661,
1_1_1_1_1_47_0,7225,7197,7131,6681,6841,6265,5953,0,1.1978834,0.8872427,-0.09003363,
1_1_1_1_1_48_0,7634,7527,7347,6632,6783,5690,5867,0,1.2522584,0.92211443,-0.112002425,
1_1_1_1_1_49_0,7178,7064,6967,6855,7061,6425,5701,0,1.2220663,0.9030172,-0.09993685,
1_1_1_1_1_50_0,5504,5384,5328,5174,5039,4467,4161,0,1.2804614,0.90381896,-0.122984506,
1_1_1_1_1_51_0,10870,10732,10868,10726,10490,9656,9131,0,1.1902311,0.95056343,-0.086854346,
1_1_1_1_1_52_0,10401,10231,10212,10146,9804,8954,8530,0,1.1971864,0.9547191,-0.089744955,
1_1_1_1_1_53_0,5813,5645,5321,5190,4901,4102,3654,0,1.4562124,0.92465055,-0.18573816,
1_1_1_1_1_54_0,5847,5669,5565,5310,5076,4396,4176,0,1.3326149,0.90554625,-0.14259316,
1_1_1_1_1_55_0,5051,4842,4545,4780,4087,3679,3110,0,1.4614148,0.90405035,-0.18745917,
1_1_1_1_1_56_0,6272,6175,6010,5726,5469,4655,4937,0,1.2173384,0.8869366,-0.09801772,
1_1_1_1_1_57_0,4659,4791,4712,4837,5077,4488,3813,0,1.2357724,0.85986024,-0.10545454,
1_1_1_1_1_58_0,6345,6183,6120,6280,6497,5960,4811,0,1.2720848,0.91602105,-0.11975116,
1_1_1_1_1_59_0,9068,8829,8934,8643,8763,8283,7905,0,1.1301708,0.9199739,-0.061108142,
1_1_1_1_1_60_0,8465,8408,8381,8123,7616,6873,6624,0,1.2652476,0.9135184,-0.1170943,
1_1_1_1_1_61_0,8669,8586,8809,9017,8708,8302,7900,0,1.1150633,0.91352797,-0.05440182,
1_1_1_1_1_62_0,4939,4722,4444,4546,4130,3723,3300,0,1.3466667,0.91756344,-0.14772727,
1_1_1_1_1_63_0,5562,5390,4989,5255,4306,3796,3148,0,1.5848157,0.9350206,-0.22625045,
1_1_1_1_1_64_0,7541,7214,6612,6569,6083,5377,4585,0,1.4420937,0.9165781,-0.18103063,
1_1_1_1_1_65_0,5239,4929,4665,4694,4230,3706,3329,0,1.4013218,0.95323956,-0.16712534,
1_1_1_1_1_66_0,6510,6317,6475,6547,6183,6152,5948,0,1.0886012,0.8296886,-0.042421315,
1_1_1_1_1_67_0,6112,5994,6122,6269,5904,5781,5373,0,1.1394007,0.83443,-0.06515876,
1_1_1_1_1_68_0,7557,7431,7463,7409,7222,6594,5961,0,1.2519711,0.8944551,-0.11188915,
1_1_1_1_1_69_0,8057,8064,8391,8250,8310,7571,7449,0,1.12646,0.9225176,-0.059469696,
1_1_1_1_1_70_0,7109,7053,7179,7557,7244,6962,6221,0,1.1539946,0.8985195,-0.07149254,
1_1_1_1_1_71_0,8589,8395,8638,8701,8485,8077,7585,0,1.1388266,0.9265634,-0.06490785,
1_1_1_1_1_72_0,7852,7599,7797,7845,7651,7156,6782,0,1.1496608,0.9274572,-0.069620684,
1_1_1_1_1_73_0,4690,4547,4251,4459,4055,3214,3074,0,1.3828888,0.9279203,-0.16068259,
1_1_1_1_1_74_0,8152,7926,8242,8301,8060,7840,7573,0,1.0883402,0.9087297,-0.042301614,
1_1_1_1_1_75_0,8835,8681,9136,9189,9049,8657,8274,0,1.1041818,0.91085184,-0.049511775,
1_1_1_1_1_76_0,7628,7500,7834,7961,7935,7565,7280,0,1.0760989,0.88964474,-0.036654755,
1_1_1_1_1_77_0,8113,8026,8491,8152,8221,7320,7632,0,1.1125524,0.862397,-0.053277925,
1_1_1_1_1_78_0,5992,5889,5884,5731,5487,4932,4761,0,1.2358748,0.87637407,-0.105495535,
1_1_1_1_1_79_0,8538,8368,8653,8770,8542,8292,7795,0,1.1100706,0.8842603,-0.052164398,
1_1_1_1_1_80_0,9194,9149,9295,9211,8764,8046,7760,0,1.1978092,0.9275255,-0.09000293,
1_1_1_1_1_81_0,9402,9107,9113,9011,8786,8079,7807,0,1.1672858,0.940343,-0.07718676,
1_1_1_1_1_82_0,6547,6493,6674,6526,6456,6093,5902,0,1.1308031,0.8880488,-0.061386768,
1_1_1_1_1_83_0,6245,6086,5610,4940,4372,4088,3745,0,1.4979973,0.94130784,-0.19935863,
1_1_1_1_1_84_0,8008,7909,8551,8414,8377,8169,8141,0,1.0503623,0.8352477,-0.024562664,
1_1_1_1_1_85_0,5648,5610,5656,5635,5383,4863,4922,0,1.1491264,0.8790822,-0.0693893,
1_1_1_1_1_86_0,6413,6433,6547,6412,6181,5362,4926,0,1.3290702,0.8901131,-0.14128824,
1_1_1_1_1_87_0,7402,7318,7566,7058,7089,6486,6467,0,1.1699396,0.87424767,-0.0783154,
1_1_1_1_1_88_0,6997,6693,7063,7046,6446,6585,6131,0,1.1520144,0.84430975,-0.07063817,
1_1_1_1_1_89_0,8021,7833,8109,7760,8040,6860,6989,0,1.1602519,0.9065352,-0.07418201,
1_1_1_1_1_90_0,4176,3907,3588,3365,3084,2494,2103,0,1.7061341,0.96036124,-0.26093832,
1_1_1_1_1_91_0,8501,8538,8879,9020,8701,8230,8321,0,1.0670593,0.8621592,-0.032441862,
1_1_1_1_1_92_0,6077,5916,5737,5658,5328,4836,4193,0,1.3682327,0.87511885,-0.15548842,
1_1_1_1_1_93_0,6152,5956,5637,5400,4927,4171,3632,0,1.5520375,0.9262613,-0.21631244,
1_1_1_1_1_94_0,4921,4671,4393,4224,3875,3367,2909,0,1.5101409,0.9289696,-0.20323199,
1_1_1_1_1_95_0,6710,6759,7290,7341,7297,7376,7110,0,1.0253165,0.57570815,-0.0125,
1_1_1_1_1_96_0,3827,3476,3312,3369,3354,3325,3075,0,1.0770732,0.71527267,-0.037106622,
1_1_1_1_1_97_0,6057,6090,6502,6626,6539,6500,6291,0,1.03354,0.7018304,-0.016493395,
1_1_1_1_1_98_0,7730,7796,8544,8271,8592,7987,8320,0,1.0269231,0.7380448,-0.013282732,
1_1_1_1_1_99_0,5783,5585,5715,6024,5492,5487,5517,0,1.035889,0.8588784,-0.017628206,
1_1_1_1_1_100_0,5897,5796,5900,5595,5460,5594,5618,0,1.0501958,0.8532374,-0.024483418,
1_1_1_1_1_101_0,7973,7965,8467,9282,9111,9092,8249,0,1.0264274,0.8285124,-0.013041398,
1_1_1_1_1_102_0,4636,4254,4283,4265,4328,4191,3908,0,1.095957,0.7666113,-0.045781955,
1_1_1_1_1_103_0,8439,8411,9119,9530,9606,9396,8626,0,1.0571527,0.819775,-0.027782474,
1_1_1_1_1_104_0,8337,8352,9012,9455,8991,9077,8474,0,1.0634884,0.84126985,-0.03076747,
1_1_1_1_1_105_0,8395,8295,8765,8862,8734,8634,8629,0,1.0157608,0.8380235,-0.007818788,
1_1_1_1_1_106_0,10381,10237,10816,10861,10759,10743,10771,0,1.0041779,0.79975384,-0.002084588,
1_1_1_1_1_107_0,5095,4892,5120,5634,5380,5322,5026,0,1.0187027,0.80416745,-0.009264735,
1_1_1_1_1_108_0,6864,6894,7372,7470,7458,7253,7103,0,1.0378714,0.7424491,-0.018583765,
1_1_1_1_1_109_0,6634,6516,6853,6908,6729,6827,6576,0,1.0421228,0.8057365,-0.020627001,
1_1_1_1_1_110_0,6211,6128,6334,6744,6403,6391,6144,0,1.0309244,0.7458689,-0.015226799,
1_1_1_1_1_111_0,8642,8471,9178,9308,9295,9233,9041,0,1.0151532,0.7807442,-0.0075196223,
1_1_1_1_1_112_0,8317,8103,8647,8856,8929,8764,8514,0,1.0156213,0.8282942,-0.007750131,
1_1_1_1_1_113_0,6859,6582,6916,7095,7112,7088,6705,0,1.0314691,0.779881,-0.015490786,
1_1_1_1_1_114_0,7216,7400,8032,7647,7723,7927,7778,0,1.0326562,0.61395854,-0.016065782,
1_1_1_1_1_115_0,6004,5821,6110,6359,6376,6288,6093,0,1.0027901,0.7952197,-0.0013931,
1_1_1_1_1_116_0,11247,11390,12294,12520,12338,11965,11693,0,1.0513983,0.8119631,-0.025055239,
1_1_1_1_1_117_0,6450,6258,6503,6632,6494,6411,6270,0,1.0371611,0.85120547,-0.018241603,
1_1_1_1_1_118_0,8569,8446,9128,9424,9339,9348,9052,0,1.0083959,0.80585843,-0.004180418,
1_1_1_1_1_119_0,7212,7036,7533,7902,7691,8001,7558,0,0.99669224,0.7778901,0.0016566166,
1_1_1_1_1_120_0,7206,7109,7537,7846,7653,7446,7261,0,1.0380113,0.8595344,-0.018651169,
1_1_1_1_1_121_0,6213,6019,6286,6236,6147,5959,6127,0,1.0259507,0.8471689,-0.012809152,
1_1_1_1_1_122_0,6599,6409,6655,6833,6982,6639,6477,0,1.0274819,0.86010736,-0.0135546755,
1_1_1_1_1_123_0,8476,8421,8889,8833,9125,8874,8846,0,1.004861,0.826483,-0.0024245842,
1_1_1_1_1_124_0,13623,13777,15079,15359,15360,14970,14594,0,1.0332328,0.79364663,-0.016344825,
1_1_1_1_1_125_0,12279,12077,12925,13365,13326,12904,12974,0,0.9962232,0.7827146,0.0018919649,
1_1_1_1_1_126_0,6635,6372,6612,6773,6774,6526,6252,0,1.0575815,0.82161236,-0.027985075,
1_1_1_1_1_127_0,3527,3188,3116,3027,2980,3009,2885,0,1.0800693,0.8021481,-0.038493585,
1_1_1_1_1_128_0,6216,6147,6392,6383,6414,6150,5691,0,1.1231769,0.86188096,-0.058015395,
1_1_1_1_1_129_0,5915,5774,6025,6255,6126,6069,5670,0,1.0626103,0.83534646,-0.030354852,
1_1_1_1_1_130_0,6815,6607,6909,6388,6765,6428,6253,0,1.1049097,0.85824776,-0.04984045,
1_1_1_1_1_131_0,4278,4258,4613,4940,4868,4583,4688,0,0.9840017,0.5433128,0.008063649,
1_1_1_1_1_132_0,4787,4788,5029,5146,4685,4625,5077,0,0.9905456,0.53781915,0.004749654,
1_1_1_1_1_133_0,5176,5170,5555,5510,5678,5501,5386,0,1.0313777,0.6848623,-0.015446486,
1_1_1_1_1_134_0,3080,3034,3385,3557,3536,3512,3471,0,0.9752233,0.4464839,0.012543757,
1_1_1_1_1_135_0,6470,6400,6650,6699,6605,6335,6248,0,1.0643406,0.86806774,-0.031167623,
1_1_1_1_1_136_0,7944,7715,8112,8670,8177,8042,7845,0,1.0340344,0.8430483,-0.01673247,
1_1_1_1_1_137_0,5211,5033,5281,5505,5504,5403,4930,0,1.0711968,0.82421166,-0.034374695,
1_1_1_1_1_138_0,4448,4499,4676,4813,4945,4613,4688,0,0.9974403,0.54924244,0.0012815036,
1_1_1_1_1_139_0,5106,4922,5170,5024,5390,5590,5327,0,0.9705275,0.58161956,0.014956654,
1_1_1_1_1_140_0,5510,5521,5984,6177,6205,5697,5766,0,1.0378078,0.52851605,-0.018553192,
1_1_1_1_1_141_0,5724,5545,6069,6173,6157,5948,6003,0,1.0109946,0.50189596,-0.005467197,
1_1_1_1_1_142_0,5887,5838,6236,6224,6284,6301,6184,0,1.0084088,0.6620641,-0.0041867956,
1_1_1_1_1_143_0,5799,5620,6033,5994,5852,5840,5832,0,1.0344651,0.68718106,-0.01694058,
1_1_1_1_1_144_0,8324,8116,8459,8477,8151,7912,8160,0,1.0366422,0.819527,-0.017991455,
1_1_1_1_1_145_0,5537,5564,5782,6464,6447,5802,5392,0,1.0723294,0.83721316,-0.034902453,
1_1_1_1_1_146_0,5985,5932,6293,6480,6572,6201,5894,0,1.067696,0.84080684,-0.032739803,
1_1_1_1_1_147_0,4938,4673,4882,5167,4818,3780,4363,0,1.1189549,0.8481313,-0.056138452,
1_1_1_1_1_148_0,4545,4244,4334,4498,4307,4189,4042,0,1.0722414,0.7764755,-0.03486151,
1_1_1_1_1_149_0,4701,4517,4690,4812,4689,4639,4339,0,1.0808942,0.8444263,-0.038874738,
1_1_1_1_1_150_0,4815,4522,4314,4091,3939,3503,3241,0,1.3310707,0.82228494,-0.14202514,
1_1_1_1_1_151_0,6161,6159,6394,6475,6578,6496,5920,0,1.0800675,0.84153086,-0.038492773,
1_1_1_1_1_152_0,5157,5364,5517,5880,5542,5271,4922,0,1.1208858,0.8566978,-0.0569978,
1_1_1_1_1_153_0,7767,7935,8430,8247,8250,7922,7459,0,1.1301783,0.85962033,-0.06111146,
1_1_1_1_1_154_0,6299,6286,6600,6763,6351,6241,5967,0,1.1060835,0.8390872,-0.050370015,
1_1_1_1_1_155_0,7778,7653,7867,7718,7565,7326,7012,0,1.1219338,0.8766552,-0.057463538,
1_1_1_1_1_156_0,4219,4190,4428,4468,4488,4630,4217,0,1.0500356,0.6577646,-0.024407173,
1_1_1_1_1_157_0,5895,5689,5959,6032,5806,5604,5492,0,1.0850328,0.8552095,-0.040782463,
1_1_1_1_1_158_0,8100,7953,8418,8482,8432,8184,7800,0,1.0792308,0.8697543,-0.03810581,
1_1_1_1_1_159_0,7241,7138,7711,7853,7772,7808,7426,0,1.0383787,0.85066116,-0.018828038,
1_1_1_1_1_160_0,7281,7171,7423,7367,7123,6744,6386,0,1.1623864,0.8676911,-0.07509595,
1_1_1_1_1_161_0,6670,6569,6863,7030,6798,6499,6173,0,1.1117771,0.8798111,-0.052930348,
1_1_1_1_1_162_0,7109,7041,7309,7347,7190,6755,6442,0,1.1345855,0.85802877,-0.06304996,
1_1_1_1_1_163_0,7034,6945,7308,7406,7701,7151,6461,0,1.1310942,0.8844119,-0.061514996,
1_1_1_1_1_164_0,10484,10262,10606,10670,10507,9868,9587,0,1.1062897,0.88259035,-0.050463032,
1_1_1_1_1_165_0,10183,10202,10867,11017,10921,10652,10411,0,1.0437999,0.84751904,-0.021430586,
1_1_1_1_1_166_0,7735,7491,7536,7540,7238,6734,6373,0,1.1824887,0.93341076,-0.08361492,
1_1_1_1_1_167_0,8520,8221,8226,8221,7986,7431,7060,0,1.1651558,0.93344307,-0.07627895,
1_1_1_1_1_168_0,7041,6811,6842,6827,6653,6219,5879,0,1.1638033,0.944611,-0.075701594,
1_1_1_1_1_169_0,5919,5655,5426,5202,4785,4258,3705,0,1.4645075,0.947314,-0.18847881,
1_1_1_1_1_170_0,7119,7034,7204,7271,7001,6491,6241,0,1.1543022,0.93454343,-0.071625136,
1_1_1_1_1_171_0,6802,6492,6002,5918,5625,4889,4253,0,1.4112391,0.8852911,-0.17055096,
1_1_1_1_1_172_0,7024,6742,6236,5959,5425,4440,3933,0,1.585558,0.95165724,-0.22647262,
1_1_1_1_1_173_0,6297,6149,5820,5635,5272,4628,4209,0,1.3827512,0.8624867,-0.16063416,
1_1_1_1_1_174_0,5025,4848,4484,4339,3953,3186,2852,0,1.57223,0.9415298,-0.22246456,
1_1_1_1_1_175_0,6511,6134,5537,5176,4754,3800,3363,0,1.6464466,0.9500874,-0.24426967,
1_1_1_1_1_176_0,6731,6573,6123,5228,5006,4415,4234,0,1.4461502,0.9143731,-0.18238872,
1_1_1_1_1_177_0,5976,5649,4998,5047,4701,3804,3329,0,1.5013517,0.91881794,-0.20043233,
1_1_1_1_1_178_0,6637,6454,6075,5870,5386,4520,4356,0,1.394628,0.9314679,-0.16479723,
1_1_1_1_1_179_0,6641,6443,6480,6450,6255,5956,5687,0,1.1394408,0.91841596,-0.06517629,
1_1_1_1_1_180_0,5760,5554,5376,5313,5030,4046,3782,0,1.4214702,0.9131932,-0.17405547,
1_1_1_1_1_181_0,6652,6489,6719,6884,6570,6337,5826,0,1.1532784,0.8689516,-0.07118374,
1_1_1_1_1_182_0,5645,5367,5387,5170,5276,4773,4143,0,1.3002656,0.87624544,-0.13053516,
1_1_1_1_1_183_0,4927,4865,4703,4497,4268,3811,3525,0,1.3341844,0.90113324,-0.14316967,
1_1_1_1_1_184_0,5762,5620,5351,5062,4630,4133,3955,0,1.352971,0.87708753,-0.15001075,
1_1_1_1_1_185_0,3755,3507,3213,3076,2872,2487,2248,0,1.4292705,0.88042897,-0.17670757,
1_1_1_1_1_186_0,4133,3994,3853,3768,3612,3285,3083,0,1.2497567,0.84182614,-0.11101499,
1_1_1_1_1_187_0,2708,2352,2106,2093,1978,1895,1724,0,1.2215778,0.9454094,-0.0997389,
1_1_1_1_1_188_0,2805,2555,2336,2246,2161,1890,1720,0,1.3581395,0.92467046,-0.15187377,
1_1_1_1_1_189_0,4998,4643,4595,4561,4429,4184,4003,0,1.1478891,0.9410535,-0.06885322,
1_1_1_1_1_190_0,4530,4162,4094,4155,3971,3792,3575,0,1.1451749,0.934914,-0.067675054,
1_1_1_1_1_191_0,5615,5386,4902,4359,4206,3582,3260,0,1.503681,0.9078994,-0.20117618,
1_1_1_1_1_192_0,5411,5283,4707,4539,4086,3267,2926,0,1.6086808,0.92704725,-0.23332897,
1_1_1_1_1_193_0,5564,5467,5001,4600,4432,3537,3157,0,1.5840988,0.93146086,-0.22603579,
1_1_1_1_1_194_0,5746,5511,4806,4348,3903,3159,2808,0,1.7115384,0.9422026,-0.26241136,
1_1_1_1_1_195_0,5367,5228,4960,4771,4593,3788,3462,0,1.4326979,0.90178245,-0.17786749,
1_1_1_1_1_196_0,4466,4373,4221,4125,3821,3476,3259,0,1.2951826,0.86561435,-0.12860963,
